figure_id,panel_id,species_group,series_name,point_count,x_min,x_max,y_min,y_max,y_mean
Figure 14,yellow_cedar,yellow cedar,yellow_cedar_thlb,68,4.3604651162790695,296.51162790697674,624999.9999999998,1812500.0000000005,1411764.7058823535
Figure 14,yellow_cedar,yellow cedar,yellow_cedar_total,68,4.3604651162790695,296.51162790697674,1562499.9999999995,2937499.9999999995,2520220.588235294
Figure 14,yellow_cedar,yellow cedar,yellow_cedar_nclb_implied,68,4.3604651162790695,296.51162790697674,937499.9999999998,1187500.0000000005,1108455.882352941
Figure 14,western_red_cedar,western red cedar,western_red_cedar_thlb,68,4.3604651162790695,296.51162790697674,4875000.000000001,15250000.000000002,12968750.0
Figure 14,western_red_cedar,western red cedar,western_red_cedar_total,68,4.3604651162790695,296.51162790697674,10687500.000000002,24312500.0,21479779.411764707
Figure 14,western_red_cedar,western red cedar,western_red_cedar_nclb_implied,68,4.3604651162790695,296.51162790697674,5812500.000000001,9187500.0,8511029.411764706
Figure 15,old_cedar,old cedar,old_cedar_thlb,158,1.8844221105527639,297.7386934673367,650442.4778761064,1207964.6017699111,962333.3706732386
Figure 15,old_cedar,old cedar,old_cedar_total,158,1.8844221105527639,297.7386934673367,3407079.6460177,9818584.07079646,6429735.633471491
Figure 15,old_cedar,old cedar,old_cedar_nclb_implied,158,1.8844221105527639,297.7386934673367,2756637.1681415937,8703539.823008848,5467402.262798252
Figure 51,yellow_cedar,yellow cedar,yellow_cedar_thlb,68,4.3604651162790695,296.51162790697674,499999.99999999924,1812500.0000000005,1414522.0588235294
Figure 51,yellow_cedar,yellow cedar,yellow_cedar_total,68,4.3604651162790695,296.51162790697674,1812500.0000000005,3187500.0000000005,2750919.1176470593
Figure 51,yellow_cedar,yellow cedar,yellow_cedar_nclb_implied,68,4.3604651162790695,296.51162790697674,1249999.9999999995,1437499.999999999,1336397.0588235296
Figure 51,western_red_cedar,western red cedar,western_red_cedar_thlb,68,4.3604651162790695,296.51162790697674,5749999.999999998,15312500.0,13399816.176470589
Figure 51,western_red_cedar,western red cedar,western_red_cedar_total,68,4.3604651162790695,296.51162790697674,13062500.0,24812500.0,23056066.17647059
Figure 51,western_red_cedar,western red cedar,western_red_cedar_nclb_implied,68,4.3604651162790695,296.51162790697674,7250000.0,10562500.0,9656250.0
Figure 52,old_cedar,old cedar,old_cedar_thlb,158,1.8844221105527639,297.7386934673367,774336.2831858412,1300884.9557522128,1158955.9762518203
Figure 52,old_cedar,old cedar,old_cedar_total,158,1.8844221105527639,297.7386934673367,4646017.6991150435,9818584.07079646,7494987.117732721
Figure 52,old_cedar,old cedar,old_cedar_nclb_implied,158,1.8844221105527639,297.7386934673367,3871681.4159292025,8641592.920353983,6336031.141480901
