id,status,value,evidence,replacement_implication
archive_status,local_archive_built_not_published,releases/tfl6_mp11_harvest_system_candidate_runtime_p15_2.zip,archive_built_and_zip_integrity_checked,candidate_archive_ready_for_publication_step
archive_sha256,recorded,fcf8d3615f8bba65419d1a401d818c5eb87e7d75d3aa6007cfa6ada773536362,releases/tfl6_mp11_harvest_system_candidate_runtime_p15_2_manifest.yaml,supports_publication_and_materialization_checks
archive_size_bytes,recorded,33806073,releases/tfl6_mp11_harvest_system_candidate_runtime_p15_2_manifest.yaml,supports_publication_and_materialization_checks
phase5_relationship,baseline_preserved,phase5_remains_accepted_baseline_pending_replacement_acceptance,releases/tfl6_mp11_harvest_system_candidate_runtime_p15_2_manifest.yaml,p15_is_replacement_candidate_review_not_silent_replacement
p14_5_forestmodel_xml_fragments,included,6 files,releases/tfl6_mp11_harvest_system_candidate_runtime_p15_2_manifest.yaml,public_safe_runtime_payload_candidate
p14_6_blocks_topology,included,6 files,releases/tfl6_mp11_harvest_system_candidate_runtime_p15_2_manifest.yaml,public_safe_runtime_payload_candidate
p14_6_matrix_builder_tracks,included,13 files,releases/tfl6_mp11_harvest_system_candidate_runtime_p15_2_manifest.yaml,public_safe_runtime_payload_candidate
p14_7_no_heli_tracks,included,13 files,releases/tfl6_mp11_harvest_system_candidate_runtime_p15_2_manifest.yaml,public_safe_runtime_payload_candidate
p14_runtime_config,included,1 files,releases/tfl6_mp11_harvest_system_candidate_runtime_p15_2_manifest.yaml,public_safe_runtime_payload_candidate
p14_runtime_launch_surfaces,included,5 files,releases/tfl6_mp11_harvest_system_candidate_runtime_p15_2_manifest.yaml,public_safe_runtime_payload_candidate
p14_runtime_metadata,included,2 files,releases/tfl6_mp11_harvest_system_candidate_runtime_p15_2_manifest.yaml,public_safe_runtime_payload_candidate
