figure_id,series_name,label,point_count,year_min,year_max,harvest_min_m3_per_year,harvest_max_m3_per_year,harvest_mean_m3_per_year,endpoint_m3_per_year,expected_endpoint_m3_per_year,endpoint_minus_expected_m3_per_year,endpoint_abs_percent_error,expected_source
Figure 21,base_case,MP11 Base Case,161,2.9813664596273295,296.64596273291926,1063134.6578366447,1064679.9116997793,1064238.4105960266,1064679.9116997793,1061600.0,3079.9116997793317,0.29011979086090167,mp11_base_case_reference
Figure 21,maintaining_current_aac,Maintaining Current AAC,198,2.9813664596273295,296.64596273291926,822075.0551876379,1362913.907284768,1049750.2620019175,1053863.1346578365,1055200.0,-1336.8653421634808,0.12669307639911684,visible_table_final_70_300_year_row
Figure 22,base_case,MP11 Base Case,196,2.9813664596273295,296.64596273291926,1063134.6578366447,1063134.6578366447,1063134.6578366447,1063134.6578366447,1061600.0,1534.6578366446774,0.14456083615718512,mp11_base_case_reference
Figure 22,maximize_short_term,Maximum short-term,198,2.9813664596273295,296.64596273291926,1044591.6114790287,1146578.366445916,1089123.018262091,1095584.9889624724,1095500.0,84.98896247241646,0.007758006615464761,visible_table_final_65_300_year_row
Figure 23,base_case,MP11 Base Case,198,2.9813664596273295,296.64596273291926,1063134.6578366447,1063134.6578366447,1063134.6578366447,1063134.6578366447,1061600.0,1534.6578366446774,0.14456083615718512,mp11_base_case_reference
Figure 23,increased_natural_stand_yields,Increased Natural Stand Yields,198,2.9813664596273295,296.64596273291926,1075496.688741722,1075496.688741722,1075496.688741722,1075496.688741722,1075300.0,196.68874172191136,0.018291522525984504,narrative_difference_plus_13700
Figure 24,base_case,MP11 Base Case,198,2.9813664596273295,296.64596273291926,1063134.6578366447,1063134.6578366447,1063134.6578366447,1063134.6578366447,1061600.0,1534.6578366446774,0.14456083615718512,mp11_base_case_reference
Figure 24,decreased_natural_stand_yields,Decreased Natural Stand Yields,198,2.9813664596273295,296.64596273291926,1035320.0883002208,1035320.0883002208,1035320.0883002208,1035320.0883002208,1036600.0,-1279.9116997792153,0.12347209143152763,visible_table_single_row
Figure 25,base_case,MP11 Base Case,198,2.9813664596273295,296.64596273291926,1063134.6578366447,1063134.6578366447,1063134.6578366447,1063134.6578366447,1061600.0,1534.6578366446774,0.14456083615718512,mp11_base_case_reference
Figure 25,increased_managed_stand_yields,Increased Managed Stand Yields,198,2.9813664596273295,296.64596273291926,1140397.3509933776,1140397.3509933776,1140397.3509933776,1140397.3509933776,1138800.0,1597.3509933776222,0.14026615677710066,narrative_difference_plus_77200
Figure 26,base_case,MP11 Base Case,198,2.9813664596273295,296.64596273291926,1063134.6578366447,1063134.6578366447,1063134.6578366447,1063134.6578366447,1061600.0,1534.6578366446774,0.14456083615718512,mp11_base_case_reference
Figure 26,decreased_managed_stand_yields,Decreased Managed Stand Yields,198,2.9813664596273295,296.64596273291926,971964.6799116997,973509.9337748344,972027.1144112203,971964.6799116997,970900.0,1064.679911699728,0.10965907011017903,narrative_difference_minus_90700
