metric,value
generated_at_utc,2026-06-29T04:52:48+00:00
qa_status,scenario_smoke_pass
run_id,tfl6_mp11_candidate_p12_5_harvest_smoke200k
raw_returncode,0
returncode,0
terminal_state,success
detected_marker,[FEMIC headless] saveStage completed
scenario_mode,max-even-flow-smoke
scenario_target,product.HarvestedVolume.managed.Total.CC
flow_target,flow.even.product.HarvestedVolume.managed.Total.CC
iterations,200000
scenario_min_annual,20000000.0
stage_dir,models/tfl6_patchworks_model_mp11_candidate/analysis/p12_5_harvest_smoke200k
saved_file_count,3359
stage_file_count,3359
target_status_rows,824
target_summary_rows,25544
schedule_rows,76726
scheduled_types,MANAGED
scheduled_treatments,CC
base_target_active,True
base_target_minactive,True
base_target_maxactive,False
base_target_linear,True
base_minimum_all_20m,True
base_final_period_current,14104784.0
flow_target_active,True
flow_target_minactive,True
flow_target_maxactive,True
flow_target_linear,False
flow_weights_all_10000,True
trace_order_ok,True
stdout_error_count,0
stderr_error_count,0
stdout_warning_count,0
stderr_warning_count,0
release_qa,not_performed
