stratum_code,au_id,si_class,bec_group,species_combo,stand_count,area_ha,mean_si,median_si,min_si,max_si,si_low_threshold_p35,si_high_threshold_p65,selected_top_90_stratum
CWHVM_HW_BA,cwhvm_hw_ba_m,M,CWHvm,HW_BA,1727,17626.858871,25.866821,27.0,21.0,28.0,20.0,28.0,True
CWHVM_HW_CW,cwhvm_hw_cw_m,M,CWHvm,HW_CW,1827,16323.091944,26.045977,28.0,21.0,28.0,20.0,28.0,True
CWHVM_HW_BA,cwhvm_hw_ba_l,L,CWHvm,HW_BA,1476,10048.741173,15.99187,16.0,7.0,20.0,20.0,28.0,True
CWHVM_HW_CW,cwhvm_hw_cw_l,L,CWHvm,HW_CW,1265,8056.102223,15.4,16.0,3.0,20.0,20.0,28.0,True
CWHVM_HW_BA,cwhvm_hw_ba_h,H,CWHvm,HW_BA,580,7163.494264,31.081034,30.0,29.0,43.0,20.0,28.0,True
CWHVM_CW_HW,cwhvm_cw_hw_l,L,CWHvm,CW_HW,1024,6683.847202,13.304688,14.0,2.0,16.0,16.0,20.0,True
CWHVM_CW_HW,cwhvm_cw_hw_h,H,CWHvm,CW_HW,747,6537.617884,23.789825,23.0,21.0,41.0,16.0,20.0,True
CWHVM_HW,cwhvm_hw_m,M,CWHvm,HW,524,4569.583633,25.980915,27.0,21.0,28.0,20.0,28.0,True
CWHVM_CW_HW,cwhvm_cw_hw_m,M,CWHvm,CW_HW,601,4256.451691,18.608986,19.0,17.0,20.0,16.0,20.0,True
CWHVM_HW_SS,cwhvm_hw_ss_l,L,CWHvm,HW_SS,468,4171.244403,24.40812,27.0,7.0,28.0,28.0,29.0,True
CWHVM_HW_CW,cwhvm_hw_cw_h,H,CWHvm,HW_CW,358,2954.302198,30.782124,30.0,29.0,42.0,20.0,28.0,True
CWHVM_HW_SS,cwhvm_hw_ss_h,H,CWHvm,HW_SS,236,2240.217819,32.364407,32.0,30.0,42.0,28.0,29.0,True
CWHVM_HW,cwhvm_hw_l,L,CWHvm,HW,435,1786.788679,15.363218,16.0,1.0,20.0,20.0,28.0,True
CWHVM_HW,cwhvm_hw_h,H,CWHvm,HW,226,1657.838206,31.362831,30.5,29.0,42.0,20.0,28.0,True
CWHVM_CW,cwhvm_cw_h,H,CWHvm,CW,166,1556.865864,20.819277,19.0,16.0,42.0,11.0,15.1,True
CWHVM_HW_FDC,cwhvm_hw_fdc_l,L,CWHvm,HW_FDC,116,1343.910712,27.146551,28.0,19.0,28.0,28.0,28.0,True
CWHVM_CW_YC,cwhvm_cw_yc_m,M,CWHvm,CW_YC,80,1286.416329,12.975,12.5,12.0,15.0,11.0,15.0,True
CWHVM_HW_DR,cwhvm_hw_dr_m,M,CWHvm,HW_DR,154,1199.825352,27.525974,27.0,26.0,29.0,25.0,29.0,True
CWHVH_CW_HW,cwhvh_cw_hw_l,L,CWHvh,CW_HW,175,1104.143424,12.234285,13.0,6.0,14.0,14.0,16.0,True
CWHVH_CW_HW,cwhvh_cw_hw_h,H,CWHvh,CW_HW,138,1076.780452,20.724638,20.0,17.0,31.0,14.0,16.0,True
CWHVM_HW_DR,cwhvm_hw_dr_l,L,CWHvm,HW_DR,160,1052.392514,19.3375,20.5,5.0,25.0,25.0,29.0,True
CWHVM_HW_DR,cwhvm_hw_dr_h,H,CWHvm,HW_DR,138,1011.817133,31.731884,31.0,30.0,37.0,25.0,29.0,True
CWHVM_BA_HW,cwhvm_ba_hw_m,M,CWHvm,BA_HW,99,974.702534,25.010101,26.0,22.0,26.0,21.0,26.0,True
CWHVM_YC_HW,cwhvm_yc_hw_l,L,CWHvm,YC_HW,75,930.310055,8.213333,9.0,5.0,10.0,10.0,13.0,True
CWHVM_HW_SS,cwhvm_hw_ss_m,M,CWHvm,HW_SS,73,928.457868,29.0,29.0,29.0,29.0,28.0,29.0,True
CWHVH_CW_HW,cwhvh_cw_hw_m,M,CWHvh,CW_HW,122,925.172952,15.721312,16.0,15.0,16.0,14.0,16.0,True
CWHVM_HW_FDC,cwhvm_hw_fdc_h,H,CWHvm,HW_FDC,51,888.764635,30.90196,30.0,29.0,39.0,28.0,28.0,True
CWHVH_HW_CW,cwhvh_hw_cw_h,H,CWHvh,HW_CW,97,858.724563,27.226805,28.0,24.0,40.0,16.0,23.0,True
CWHVM_HW_FD,cwhvm_hw_fd_h,H,CWHvm,HW_FD,56,812.542221,34.57143,33.0,31.0,45.0,24.0,30.0,True
CWHVM_HW_FD,cwhvm_hw_fd_m,M,CWHvm,HW_FD,66,795.928263,27.621212,27.0,25.0,30.0,24.0,30.0,True
CWHVH_HW_CW,cwhvh_hw_cw_l,L,CWHvh,HW_CW,125,749.479196,13.368,14.0,5.0,16.0,16.0,23.0,True
CWHVM_CW_YC,cwhvm_cw_yc_l,L,CWHvm,CW_YC,84,737.99808,9.0,9.0,3.0,11.0,11.0,15.0,True
CWHVM_BA_HW,cwhvm_ba_hw_h,H,CWHvm,BA_HW,73,662.046092,29.109589,28.0,27.0,36.0,21.0,26.0,True
CWHVM_DR_HW,cwhvm_dr_hw_h,H,CWHvm,DR_HW,101,620.529576,31.851484,30.0,27.0,47.0,22.0,26.0,True
CWHVM_CW,cwhvm_cw_m,M,CWHvm,CW,132,602.894849,13.189394,13.0,12.0,15.0,11.0,15.1,True
CWHVM_CW,cwhvm_cw_l,L,CWHvm,CW,177,597.830187,7.887006,9.0,2.0,11.0,11.0,15.1,True
CWHVM_SS_HW,cwhvm_ss_hw_h,H,CWHvm,SS_HW,52,576.664115,38.153847,37.0,35.0,51.0,29.0,34.0,True
CWHVM_SS_HW,cwhvm_ss_hw_l,L,CWHvm,SS_HW,57,552.785545,25.333334,26.0,14.0,29.0,29.0,34.0,True
CWHVM_CW_YC,cwhvm_cw_yc_h,H,CWHvm,CW_YC,72,530.979031,18.944445,18.0,16.0,30.0,11.0,15.0,True
CWHVM_SS_HW,cwhvm_ss_hw_m,M,CWHvm,SS_HW,50,520.023769,32.06,32.0,30.0,34.0,29.0,34.0,True
CWHVM_YC_HW,cwhvm_yc_hw_h,H,CWHvm,YC_HW,67,504.291258,18.820896,19.0,14.0,28.0,10.0,13.0,True
CWHVM_BA_HW,cwhvm_ba_hw_l,L,CWHvm,BA_HW,96,498.382016,16.458334,16.0,8.0,21.0,21.0,26.0,True
CWHVM_HW_YC,cwhvm_hw_yc_m,M,CWHvm,HW_YC,67,495.916567,18.19403,16.0,14.0,24.0,13.0,24.0,True
CWHVM_DR_HW,cwhvm_dr_hw_l,L,CWHvm,DR_HW,134,480.64572,19.156717,20.0,9.0,22.0,22.0,26.0,True
CWHVM_HW_YC,cwhvm_hw_yc_l,L,CWHvm,HW_YC,83,474.391377,10.86747,11.0,1.0,13.0,13.0,24.0,True
